epoch	train_mse	test_mse	test_accuracy
164	0.248088	0.247591	0.5488
165	0.248087	0.247589	0.5488
166	0.248085	0.247587	0.5488
167	0.248084	0.247585	0.5488
168	0.248082	0.247582	0.5488
169	0.248081	0.247580	0.5488
170	0.248080	0.247578	0.5488
171	0.248078	0.247576	0.5488
172	0.248077	0.247574	0.5488
173	0.248075	0.247572	0.5488
174	0.248074	0.247570	0.5488
175	0.248072	0.247568	0.5488
176	0.248071	0.247566	0.5488
177	0.248070	0.247564	0.5488
178	0.248068	0.247562	0.5488
179	0.248067	0.247560	0.5488
180	0.248066	0.247558	0.5488
181	0.248064	0.247556	0.5488
182	0.248063	0.247554	0.5488
183	0.248062	0.247552	0.5488
184	0.248060	0.247550	0.5488
185	0.248059	0.247549	0.5488
186	0.248058	0.247547	0.5488
187	0.248056	0.247545	0.5488
188	0.248055	0.247543	0.5488
189	0.248054	0.247541	0.5488
190	0.248052	0.247539	0.5488
191	0.248051	0.247538	0.5488
192	0.248050	0.247536	0.5488
193	0.248049	0.247534	0.5488
194	0.248047	0.247532	0.5488
195	0.248046	0.247530	0.5488
196	0.248045	0.247529	0.5488
197	0.248044	0.247527	0.5488
198	0.248042	0.247525	0.5488
199	0.248041	0.247524	0.5488
200	0.248040	0.247522	0.5488
201	0.248039	0.247520	0.5488
202	0.248037	0.247518	0.5488
203	0.248036	0.247517	0.5488
204	0.248035	0.247515	0.5488
205	0.248034	0.247513	0.5488
206	0.248032	0.247512	0.5488
207	0.248031	0.247510	0.5488
208	0.248030	0.247508	0.5488
209	0.248029	0.247507	0.5488
210	0.248027	0.247505	0.5488
211	0.248026	0.247503	0.5488
212	0.248025	0.247502	0.5488
213	0.248024	0.247500	0.5488
214	0.248023	0.247499	0.5488
215	0.248021	0.247497	0.5488
216	0.248020	0.247495	0.5488
217	0.248019	0.247494	0.5488
218	0.248018	0.247492	0.5488
219	0.248016	0.247491	0.5488
220	0.248015	0.247489	0.5488
221	0.248014	0.247488	0.5488
222	0.248013	0.247486	0.5488
223	0.248012	0.247484	0.5488
224	0.248010	0.247483	0.5488
225	0.248009	0.247481	0.5488
226	0.248008	0.247480	0.5488
227	0.248007	0.247478	0.5488
228	0.248006	0.247477	0.5488
229	0.248005	0.247475	0.5488
230	0.248003	0.247474	0.5488
231	0.248002	0.247472	0.5488
232	0.248001	0.247471	0.5488
233	0.248000	0.247469	0.5488
234	0.247999	0.247468	0.5488
235	0.247997	0.247466	0.5488
236	0.247996	0.247465	0.5488
237	0.247995	0.247463	0.5488
238	0.247994	0.247462	0.5488
239	0.247993	0.247460	0.5488
240	0.247991	0.247459	0.5488
241	0.247990	0.247457	0.5488
242	0.247989	0.247456	0.5488
243	0.247988	0.247454	0.5488
244	0.247987	0.247453	0.5488
245	0.247985	0.247451	0.5488
246	0.247984	0.247450	0.5488
247	0.247983	0.247448	0.5488
248	0.247982	0.247447	0.5488
249	0.247981	0.247446	0.5488
250	0.247980	0.247444	0.5488
251	0.247978	0.247443	0.5488
252	0.247977	0.247441	0.5488
253	0.247976	0.247440	0.5488
254	0.247975	0.247438	0.5488
255	0.247974	0.247437	0.5488
256	0.247972	0.247435	0.5488
257	0.247971	0.247434	0.5488
258	0.247970	0.247433	0.5488
259	0.247969	0.247431	0.5488
260	0.247968	0.247430	0.5488
261	0.247967	0.247428	0.5488
262	0.247965	0.247427	0.5488
263	0.247964	0.247425	0.5488
264	0.247963	0.247424	0.5488
265	0.247962	0.247423	0.5488
266	0.247961	0.247421	0.5488
267	0.247959	0.247420	0.5488
268	0.247958	0.247418	0.5488
269	0.247957	0.247417	0.5488
270	0.247956	0.247416	0.5488
271	0.247955	0.247414	0.5488
272	0.247954	0.247413	0.5488
273	0.247952	0.247411	0.5488
274	0.247951	0.247410	0.5488
275	0.247950	0.247409	0.5488
276	0.247949	0.247407	0.5488
277	0.247948	0.247406	0.5488
278	0.247946	0.247404	0.5488
279	0.247945	0.247403	0.5488
280	0.247944	0.247402	0.5488
281	0.247943	0.247400	0.5488
282	0.247942	0.247399	0.5488
283	0.247940	0.247397	0.5488
284	0.247939	0.247396	0.5488
285	0.247938	0.247395	0.5488
286	0.247937	0.247393	0.5488
287	0.247936	0.247392	0.5488
288	0.247934	0.247390	0.5488
289	0.247933	0.247389	0.5488
290	0.247932	0.247388	0.5488
291	0.247931	0.247386	0.5488
292	0.247930	0.247385	0.5488
293	0.247928	0.247383	0.5488
294	0.247927	0.247382	0.5488
295	0.247926	0.247381	0.5488
296	0.247925	0.247379	0.5488
297	0.247924	0.247378	0.5488
298	0.247922	0.247377	0.5488
299	0.247921	0.247375	0.5488
300	0.247920	0.247374	0.5488
301	0.247919	0.247372	0.5488
302	0.247918	0.247371	0.5488
303	0.247916	0.247370	0.5488
304	0.247915	0.247368	0.5488
305	0.247914	0.247367	0.5488
306	0.247913	0.247365	0.5488
307	0.247912	0.247364	0.5488
308	0.247910	0.247363	0.5488
309	0.247909	0.247361	0.5488
310	0.247908	0.247360	0.5488
311	0.247907	0.247359	0.5488
312	0.247905	0.247357	0.5488
313	0.247904	0.247356	0.5488
314	0.247903	0.247354	0.5488
315	0.247902	0.247353	0.5488
316	0.247901	0.247352	0.5488
317	0.247899	0.247350	0.5488
318	0.247898	0.247349	0.5488
319	0.247897	0.247347	0.5488
320	0.247896	0.247346	0.5488
321	0.247894	0.247345	0.5488
322	0.247893	0.247343	0.5488
